timestamp,scenario,target_pids,process_count,cpu_percent,memory_mb,disk_read_bytes,disk_write_bytes,net_sent_bytes_delta_system_wide,net_recv_bytes_delta_system_wide,thread_count
2026-08-11T14:05:04.941926,upload_screenshot,27804;30836;25100;31688;15804;32268;13036;22284,8,17.0,487.82,15350050,5798242,404,10386,167
2026-08-11T14:05:05.496053,upload_screenshot,27804;30836;25100;31688;15804;32268;13036;22284,8,0.0,487.74,15350050,5798242,0,442,167
2026-08-11T14:05:06.043516,upload_screenshot,27804;30836;25100;31688;15804;32268;13036;22284,8,0.0,487.74,15350050,5798242,446,294,167
2026-08-11T14:05:18.816704,upload_event,27804;30836;25100;31688;15804;32268;13036;22284,8,0.0,487.16,15661356,6167008,404,0,166
2026-08-11T14:05:19.376482,upload_event,27804;30836;25100;31688;15804;32268;13036;22284,8,0.0,487.16,15661356,6167008,0,468,166
2026-08-11T14:05:19.928955,upload_event,27804;30836;25100;31688;15804;32268;13036;22284,8,11.2,508.62,16014092,6519151,202,3011,166
2026-08-11T14:05:20.484160,upload_event,27804;30836;25100;31688;15804;32268;13036;22284,8,2.8,508.62,16014092,6519151,202,2985,166
2026-08-11T14:05:21.042053,upload_event,27804;30836;25100;31688;15804;32268;13036;22284,8,28.1,508.64,16113042,6845928,638,0,166
2026-08-11T14:05:21.600558,upload_event,27804;30836;25100;31688;15804;32268;13036;22284,8,8.4,508.84,16429955,6887993,15834,20496,166
2026-08-11T14:05:22.172052,upload_event,27804;30836;25100;31688;15804;32268;13036;22284,8,22.2,508.96,16499088,6948701,29642,26964,163
2026-08-11T14:05:22.735231,upload_event,27804;30836;25100;31688;15804;32268;13036;22284,8,16.5,510.2,16847104,7296124,202,0,163
2026-08-11T14:05:23.294780,upload_event,27804;30836;25100;31688;15804;32268;13036;22284,8,0.0,510.2,16847104,7296124,638,1342,163
2026-08-11T14:05:23.894737,upload_event,27804;30836;25100;31688;15804;32268;13036;22284,8,21.5,510.55,16886493,7355629,202,3768,168
2026-08-11T14:05:24.444370,upload_event,27804;30836;25100;31688;15804;32268;13036;22284,8,0.0,510.56,16886493,7355629,398,2182,168
2026-08-11T14:05:24.993071,upload_event,27804;30836;25100;31688;15804;32268;13036;22284,8,0.0,508.15,16886493,7355629,404,670,168
2026-08-11T14:05:25.541750,upload_event,27804;30836;25100;31688;15804;32268;13036;22284,8,0.0,508.17,16886493,7355629,606,638,168
2026-08-11T14:05:26.087816,upload_event,27804;30836;25100;31688;15804;32268;13036;22284,8,0.0,508.17,16886493,7355629,404,798,168
2026-08-11T14:05:26.635401,upload_event,27804;30836;25100;31688;15804;32268;13036;22284,8,0.0,508.18,16886493,7355629,202,234,168
2026-08-11T14:05:27.181748,upload_event,27804;30836;25100;31688;15804;32268;13036;22284,8,0.0,508.18,16886493,7355629,561,1358,168
2026-08-11T14:05:27.730550,upload_event,27804;30836;25100;31688;15804;32268;13036;22284,8,0.0,508.19,16886493,7355629,40012,2981,168
2026-08-11T14:05:28.364214,upload_event,27804;30836;25100;31688;15804;32268;13036;22284,8,0.0,508.2,16886493,7355629,6084,14918,168
2026-08-11T14:05:28.917010,upload_event,27804;30836;25100;31688;15804;32268;13036;22284,8,5.1,508.28,16886493,7355629,202,1758,168
2026-08-11T14:05:29.465174,upload_event,27804;30836;25100;31688;15804;32268;13036;22284,8,17.0,508.26,17202707,7692816,734,234,168
2026-08-11T14:06:59.102803,continuous,20016;34468;26888;34616;29552;16840;20028;2496,8,0.0,491.19,14020042,3034174,654,632,166
2026-08-11T14:07:29.149131,continuous,20016;34468;26888;34616;29552;16840;20028;2496,8,0.9,491.77,14085733,3136422,2835530,350626,165
2026-08-11T14:07:59.195981,continuous,20016;34468;26888;34616;29552;16840;20028;2496,8,0.8,492.43,14847664,3234318,96471,558114,161
2026-08-11T14:08:29.243587,continuous,20016;34468;26888;34616;29552;16840;20028;2496,8,0.4,492.73,16814340,3258922,130227,2269721,154
2026-08-11T14:08:59.289869,continuous,20016;34468;26888;34616;29552;16840;20028;2496,8,0.7,492.77,19035948,3299793,145520,2499836,154
2026-08-11T14:09:29.340075,continuous,20016;34468;26888;34616;29552;16840;20028;2496,8,1.2,493.64,26021730,7326643,2700191,5335182,152
2026-08-11T14:09:59.387767,continuous,20016;34468;26888;34616;29552;16840;20028;2496,8,0.2,493.46,26031326,7343043,3160905,41880255,154
2026-08-11T14:10:29.432657,continuous,20016;34468;26888;34616;29552;16840;20028;2496,8,0.9,493.52,61077754,7369413,46856,138817,154
2026-08-11T14:10:59.478714,continuous,20016;34468;26888;34616;29552;16840;20028;2496,8,0.3,495.21,61123350,7406922,61591,127939,165
2026-08-11T14:11:29.532679,continuous,20016;34468;26888;34616;29552;16840;20028;2496,8,0.5,503.93,61500454,7777057,81989,171385,165
2026-08-11T14:11:59.590797,continuous,20016;34468;26888;34616;29552;16840;20028;2496,8,0.3,503.25,61526942,7803119,53158,135886,164
2026-08-11T14:12:29.636353,continuous,20016;34468;26888;34616;29552;16840;20028;2496,8,0.4,503.13,61535642,7803140,85667,189051,156
2026-08-11T14:12:59.681342,continuous,20016;34468;26888;34616;29552;16840;20028;2496,8,0.0,503.16,61545238,7804057,33723,73029,155
2026-08-11T14:13:29.725840,continuous,20016;34468;26888;34616;29552;16840;20028;2496,8,0.1,503.48,61553938,7804078,40167,102965,154
2026-08-11T14:13:59.772281,continuous,20016;34468;26888;34616;29552;16840;20028;2496,8,0.2,502.66,61563534,7804995,81595,358896,151
2026-08-11T14:14:29.817079,continuous,20016;34468;26888;34616;29552;16840;20028;2496,8,0.1,502.91,61572234,7805016,32686,136819,151
2026-08-11T14:14:59.910649,continuous,20016;34468;26888;34616;29552;16840;20028;2496,8,0.4,486.84,61671706,7891085,227067,870453,156
2026-08-11T14:15:29.978741,continuous,20016;34468;26888;34616;29552;16840;20028;2496,8,0.3,485.3,61680406,7891106,84331,169565,155
2026-08-11T14:16:00.059338,continuous,20016;34468;26888;34616;29552;16840;20028;2496,8,0.5,485.72,61726226,7928839,46116,120549,168
2026-08-11T14:16:30.136696,continuous,20016;34468;26888;34616;29552;16840;20028;2496,8,0.6,494.59,62085255,8300162,281933,1374129,168
2026-08-11T14:17:00.221079,continuous,20016;34468;26888;34616;29552;16840;20028;2496,8,0.1,486.01,62094851,8301079,186849,1199068,157
2026-08-11T14:17:30.316236,continuous,20016;34468;26888;34616;29552;16840;20028;2496,8,0.2,486.01,62103551,8301100,156744,506430,157
2026-08-11T14:18:00.396156,continuous,20016;34468;26888;34616;29552;16840;20028;2496,8,0.0,485.76,62113147,8302017,535321,1526322,156
2026-08-11T14:18:30.483080,continuous,20016;34468;26888;34616;29552;16840;20028;2496,8,0.2,485.75,62121847,8302038,197327,10395391,155
2026-08-11T14:19:00.552183,continuous,20016;34468;26888;34616;29552;16840;20028;2496,8,0.3,485.75,62131443,8302955,4118798,162563802,155
2026-08-11T14:19:30.617516,continuous,20016;34468;26888;34616;29552;16840;20028;2496,8,0.2,485.77,62140143,8302976,6349716,167358141,154
2026-08-11T14:20:00.685072,continuous,20016;34468;26888;34616;29552;16840;20028;2496,8,0.4,485.8,62149739,8303893,6356671,170872853,154
2026-08-11T14:20:30.745808,continuous,20016;34468;26888;34616;29552;16840;20028;2496,8,0.0,485.88,62158551,8304026,7391056,199747542,154
2026-08-11T14:21:00.799766,continuous,20016;34468;26888;34616;29552;16840;20028;2496,8,0.3,484.22,62203923,8341311,6368091,205616123,155
2026-08-11T14:21:30.863486,continuous,20016;34468;26888;34616;29552;16840;20028;2496,8,0.7,492.32,62577987,8735922,5744215,148925558,155
2026-08-11T14:22:00.913107,continuous,20016;34468;26888;34616;29552;16840;20028;2496,8,0.5,492.28,62587583,8736839,81444,111013,155
2026-08-11T14:22:30.958558,continuous,20016;34468;26888;34616;29552;16840;20028;2496,8,0.2,492.75,62681435,8822012,40041,76875,154
2026-08-11T14:23:01.007102,continuous,20016;34468;26888;34616;29552;16840;20028;2496,8,0.4,492.4,62691031,8822929,68305,138166,154
2026-08-11T14:23:31.051980,continuous,20016;34468;26888;34616;29552;16840;20028;2496,8,0.3,492.32,62699731,8822950,16844,82131,154
2026-08-11T14:24:01.097194,continuous,20016;34468;26888;34616;29552;16840;20028;2496,8,0.1,484.41,62709327,8823867,413069,881885,154
2026-08-11T14:24:31.143420,continuous,20016;34468;26888;34616;29552;16840;20028;2496,8,0.6,484.52,62718027,8823888,68096,236111,155
2026-08-11T14:25:01.207850,continuous,20016;34468;26888;34616;29552;16840;20028;2496,8,0.6,484.42,62727623,8824805,1755498,1826056,157
2026-08-11T14:25:31.253050,continuous,20016;34468;26888;34616;29552;16840;20028;2496,8,0.3,484.42,62736323,8824826,1486144,192069,157
2026-08-11T14:26:01.300440,continuous,20016;34468;26888;34616;29552;16840;20028;2496,8,0.3,484.42,62745919,8826335,3190691,7382127,156
2026-08-11T14:26:31.350263,continuous,20016;34468;26888;34616;29552;16840;20028;2496,8,0.9,492.75,63093931,9186641,195330,163799,156
2026-08-11T14:27:01.487294,continuous,20016;34468;26888;34616;29552;16840;20028;2496,8,0.7,485.04,63108251,9187558,879043,8588261,157
2026-08-11T14:27:31.539604,continuous,20016;34468;26888;34616;29552;16840;20028;2496,8,0.5,485.77,63202103,9272731,2496783,4315711,156
2026-08-11T14:28:01.588418,continuous,20016;34468;26888;34616;29552;16840;20028;2496,8,0.3,485.57,63211699,9273648,189978,207488,156
2026-08-11T14:28:31.639763,continuous,20016;34468;26888;34616;29552;16840;20028;2496,8,0.6,485.32,63220399,9273669,63931,106521,155
2026-08-11T14:29:01.688597,continuous,20016;34468;26888;34616;29552;16840;20028;2496,8,0.5,485.33,63229995,9274586,64223,216415,155
2026-08-11T14:29:31.735540,continuous,20016;34468;26888;34616;29552;16840;20028;2496,8,0.3,485.28,63238695,9274607,1973834,213290,154
2026-08-11T14:30:01.786811,continuous,20016;34468;26888;34616;29552;16840;20028;2496,8,0.3,485.27,63248291,9275524,78201,338663,154
2026-08-11T14:30:31.834426,continuous,20016;34468;26888;34616;29552;16840;20028;2496,8,0.2,485.06,63256991,9275545,4120397,429253,154
2026-08-11T14:31:01.884374,continuous,20016;34468;26888;34616;29552;16840;20028;2496,8,0.3,485.06,63266811,9277278,4084020,298513,154
2026-08-11T14:31:31.942497,continuous,20016;34468;26888;34616;29552;16840;20028;2496,8,0.6,492.48,63584491,9607252,4106255,372824,153
2026-08-11T14:32:01.989911,continuous,20016;34468;26888;34616;29552;16840;20028;2496,8,0.2,492.5,63594087,9608169,4253539,398327,154
2026-08-11T14:32:32.045543,continuous,20016;34468;26888;34616;29552;16840;20028;2496,8,0.4,492.53,63602787,9608190,2112514,223601,153
2026-08-11T14:33:02.097809,continuous,20016;34468;26888;34616;29552;16840;20028;2496,8,0.3,492.53,63612383,9609107,4089285,249976,153
2026-08-11T14:33:32.150907,continuous,20016;34468;26888;34616;29552;16840;20028;2496,8,0.1,492.6,63621083,9609128,4313189,307465,153
2026-08-11T14:34:02.200245,continuous,20016;34468;26888;34616;29552;16840;20028;2496,8,0.1,492.56,63630679,9610045,2271340,214424,151
2026-08-11T14:34:32.247126,continuous,20016;34468;26888;34616;29552;16840;20028;2496,8,0.2,492.61,63639379,9610066,6400249,437449,153
2026-08-11T14:35:02.301396,continuous,20016;34468;26888;34616;29552;16840;20028;2496,8,0.5,492.61,63648975,9610983,235271,372611,153
2026-08-11T14:35:32.348044,continuous,20016;34468;26888;34616;29552;16840;20028;2496,8,0.7,492.62,63657675,9611004,75430,144672,153
2026-08-11T14:36:02.408038,continuous,20016;34468;26888;34616;29552;16840;20028;2496,8,0.4,484.8,63667719,9612961,302653,669551,154
2026-08-11T14:36:32.454397,continuous,20016;34468;26888;34616;29552;16840;20028;2496,8,0.9,485.23,64113685,10071221,2745397,273525,155
